Bowler,Bowler Type,Short Type,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Middle Percentage,Edge Percentage,Whiff Percentage,Runs per Edge
KJ Abbott,RFM,Seam,77.51654497254562,82.30443297148041,9.411708860828938,2.151512006116775,0.5538391640163562,0.09586551567469333,0.1040436165379373,1.1090047393364928
BTJ Wheal,RFM,Seam,82.05237480944567,87.09380293414922,11.25993451749585,2.032754155123675,0.6,0.0910569105691057,0.11138211382113822,1.3303571428571428
BR Hampton,RFM,Seam,78.85039244166991,83.61642909562103,9.701077566826498,2.1552283296747965,0.6278195488721805,0.09022556390977443,0.09398496240601503,1.3333333333333333
S Baker,RF,Seam,79.82350891212157,85.05534515021182,12.251295899986147,2.0748175923076926,0.6035578144853876,0.07115628970775095,0.10165184243964422,1.1071428571428572
LA Dawson,LOB,Spin,51.83616641076552,56.930666081230285,9.804612533236131,2.0579981062594266,0.7146974063400576,0.05763688760806916,0.03650336215177714,0.5416666666666666
BO Coad,RM,Seam,71.9253628571806,77.08120158225147,10.547667642933874,2.135829819932998,0.33162142333088773,0.10638297872340426,0.09391049156272928,1.2413793103448276
CJ White,RM,Seam,74.1080351367855,80.58279692382419,12.488697304037842,2.187486311980136,0.38972809667673713,0.09113796576032225,0.07250755287009064,1.1215469613259668
BM Cliff,RFM,Seam,80.1244451312428,83.34525103600261,6.212698487599496,2.050941477777778,0.8095238095238095,0.0,0.047619047619047616,
GCH Hill,RM,Seam,74.44772779310448,80.20452672529085,12.088597670659851,2.1549745226080796,0.40362438220757824,0.09390444810543658,0.07742998352553541,1.0584795321637428
DM Bess,ROB,Spin,51.87782673975786,57.19100746691062,11.003137003868005,2.2474825905383358,0.4702920443101712,0.05387713997985901,0.035246727089627394,1.0841121495327102
A Lyth,ROB,Spin,49.55206339531088,57.21719976527612,12.030453730725412,2.126142393506494,0.3333333333333333,0.037037037037037035,0.037037037037037035,0.8
KAJ Roach,RFM,Seam,75.09364872107757,79.06783616035882,8.77217266594181,1.9800621779467682,0.6948640483383686,0.08157099697885196,0.054380664652567974,1.3333333333333333
J Clark,RFM,Seam,78.13502342885644,83.80136718195185,12.570687066213509,2.1586901379508197,0.5674121405750798,0.0939297124600639,0.09456869009584665,1.1156462585034013
MD Fisher,RFM,Seam,78.93828505346782,84.70422775276657,11.352383963980316,2.09429229,0.6041397153945667,0.09767141009055627,0.08020698576972833,1.2119205298013245
JPA Taylor,RFM,Seam,79.47244314719798,83.92619263579743,9.37543808862469,2.0947651532894738,0.6213872832369942,0.09248554913294797,0.06647398843930635,1.65625
DW Lawrence,ROB,Spin,50.79119715227922,54.384938798295046,7.849221504209716,2.2824194286549706,0.6977869986168741,0.05255878284923928,0.029737206085753802,1.1578947368421053
RS Patel,RM,Seam,67.10630120528029,70.74219312947872,7.301028600396023,2.06192843125,0.7755102040816326,0.02040816326530612,0.061224489795918366,0.0
JA Porter,RFM,Seam,75.21154137493441,80.32585503414899,10.074551891526156,2.0382842458015267,0.5761786600496278,0.09081885856079404,0.08535980148883375,1.0874316939890711
SJ Cook,RFM,Seam,76.48966909703051,81.92642466373589,11.143223461842666,2.087946780025445,0.6477045908183633,0.09281437125748503,0.08982035928143713,1.3333333333333333
SR Harmer,ROB,Spin,49.772489448700846,55.265051628008315,10.639795145350426,2.347555147263158,0.6480367881146091,0.050229925716307036,0.04421648390519986,0.6338028169014085
S Snater,RM,Seam,73.05449158201982,78.30196112961228,11.33403289852859,2.0703173256464016,0.5274592637296318,0.0748340374170187,0.08569704284852142,1.0564516129032258
MJJ Critchley,RLB,Spin,48.71457736987249,53.4904071956759,8.79747473204305,2.183838915822785,0.6681783824640968,0.05366591080876795,0.044595616024187455,0.8873239436619719
NRM Thain,RFM,Seam,77.35725400391371,83.33818599996138,12.22161504700837,2.0322756424657538,0.5590863952333665,0.07447864945382324,0.06752730883813307,1.2666666666666666
PI Walter,LM,Seam,69.89752036524429,74.69857753703421,10.139226035750383,2.2851532705882356,0.5116279069767442,0.0,0.09302325581395349,
T Westley,ROB,Spin,46.08063158133186,50.60336465108767,8.468122577846636,2.333055355405405,0.6853146853146853,0.04895104895104895,0.027972027972027972,0.7142857142857143
M Pretorius,RFM,Seam,79.39281243784829,84.09429735956168,9.640525659388942,2.15913843,0.6654445462878094,0.06966086159486709,0.11365719523373052,1.236842105263158
SF Hunt,LFM,Seam,80.96257194624398,85.22664846792905,8.479067427974499,2.213961377889447,0.4085603112840467,0.13229571984435798,0.12062256809338522,1.2941176470588236
DM Hogg,RM,Seam,75.8937401836393,80.53845747127261,8.491047602786423,2.3090884807272727,0.6238532110091743,0.05963302752293578,0.05504587155963303,1.0
BJ Doggett,RFM,Seam,80.82974676570933,85.43014606355841,10.062714876065925,2.0905108154046994,0.6928251121076233,0.10762331838565023,0.09865470852017937,0.9791666666666666
BA Hutton,RM,Seam,72.83800110383507,77.70488948680979,9.40365251840889,2.1526722349462366,0.6485697606538237,0.07589025102159953,0.07355516637478109,1.1384615384615384
BT Slater,ROB,Spin,48.61421536722433,50.86644264880064,4.676289265113752,2.1288444374999997,0.6470588235294118,0.0,0.058823529411764705,
DJ Worrall,RFM,Seam,79.40012303854563,85.13479900634438,14.263863975909842,2.141302371632997,0.5420494699646643,0.10812720848056537,0.10035335689045936,1.026143790849673
RJ Burns,RM,Seam,70.22606219701892,74.33183645966345,10.403550486895867,2.0461562708333334,0.8333333333333334,0.0,0.05555555555555555,
JA Duffy,RFM,Seam,83.83427113408469,88.54834153674912,9.9374962648385,2.076739524672897,0.4579710144927536,0.0927536231884058,0.11159420289855072,1.296875
JD Libby,ROB,Spin,49.00305786807523,59.993138388186246,16.87682043932675,2.098336063392857,0.5698324022346368,0.0223463687150838,0.01675977653631285,1.0
JA Thompson,RFM,Seam,79.64338540440544,85.73461986496375,12.333786234769875,2.107555989241623,0.30917874396135264,0.08792270531400966,0.10917874396135266,1.065934065934066
CAK Rajitha,RFM,Seam,78.19631687423491,84.23660499128204,12.659393676221896,2.113363417984496,0.5381294964028777,0.07050359712230216,0.12949640287769784,1.2448979591836735
OJ Hannon-Dalby,RFM,Seam,76.65370468294014,82.78564271258966,14.11558153594396,2.239591221229868,0.661134163208852,0.07745504840940526,0.0739972337482711,0.8660714285714286
JK Fuller,RFM,Seam,78.81464042670123,82.94598022211301,9.023708414331296,2.1759430581,0.6334876543209876,0.06095679012345679,0.08487654320987655,1.0759493670886076
ARJ Ogborne,LFM,Seam,79.44323005841342,84.15959447664346,9.647507052914733,2.0413097632183907,0.7128712871287128,0.039603960396039604,0.04950495049504951,1.5
TJ Prest,ROB,Spin,48.8091860255178,51.7287692323104,5.798530663592608,2.1368163440414505,0.8275862068965517,0.02413793103448276,0.041379310344827586,1.2857142857142858
AAP Atkinson,RF,Seam,82.74963543570286,88.9254785407087,11.876933238842554,2.0856369273214286,0.5552238805970149,0.10149253731343283,0.1208955223880597,0.9558823529411765
OFM Sykes,ROB,Spin,54.104855187921125,56.232796738653676,5.062102410931487,2.2230974520833335,0.7547169811320755,0.018867924528301886,0.0,0.0
DP Sibley,RLB,Spin,47.13496277593237,51.061329878772675,6.613322924643221,2.3529136,0.5,0.0,0.3333333333333333,
BV Sears,RFM,Seam,82.44668128689547,87.38160753007541,9.408555642796827,2.096111221238938,0.3804347826086957,0.13043478260869565,0.18478260869565216,1.5
ML Revis,RFM,Seam,77.85099615207463,84.77961254321725,13.484993553826811,2.2138504135638297,0.36774193548387096,0.05806451612903226,0.05161290322580645,1.6388888888888888
JT Ball,RFM,Seam,78.35106992092099,82.92705281441017,11.324635318356016,2.2152722483606557,0.5679611650485437,0.0703883495145631,0.09223300970873786,1.3793103448275863
JM Blatherwick,RFM,Seam,77.81561253642953,80.38331684465949,5.455589466726764,2.010850150847458,0.7096774193548387,0.04838709677419355,0.0,1.3333333333333333
CE Yusuf,RFM,Seam,80.62942949845396,85.30040977437596,10.70489660246811,1.9985080174334142,0.671559633027523,0.08256880733944955,0.09724770642201835,1.2
LA Patterson-White,LOB,Spin,52.404168661528395,57.41123729074375,9.841990220258126,2.244259177355734,0.7161383285302594,0.049951969260326606,0.03266090297790586,0.8557692307692307
FS Organ,ROB,Spin,49.87036446892563,53.56927351080896,7.649651462761483,2.19054069086758,0.7757496740547588,0.03389830508474576,0.02346805736636245,0.7307692307692307
CF Parkinson,LOB,Spin,49.41724624232984,52.91565480833676,6.560187530925319,2.0961782905864195,0.7887445887445887,0.0354978354978355,0.024242424242424242,0.4146341463414634
BJ Webster,RM,Seam,71.70591846776173,79.9993748025324,32.14911328646828,2.2345825295352326,0.6244665718349929,0.07965860597439545,0.07539118065433854,0.9285714285714286
JSD Buckingham,RFM,Seam,80.12634689873343,85.30377902525653,11.653158450708531,2.1380112541666665,0.3472222222222222,0.09722222222222222,0.06944444444444445,1.7142857142857142
NG Smith,RFM,Seam,80.75419304548319,86.15383633314887,10.862846249652407,2.027715316873065,0.4896988906497623,0.10776545166402536,0.11410459587955626,0.9411764705882353
TE Lawes,RFM,Seam,79.53988490989154,85.86534135768193,12.10307961950231,2.0149071387631974,0.5871097683786506,0.0634441087613293,0.08559919436052367,1.0317460317460319
CT Steel,RLB,Spin,49.0755672820567,51.57065879775608,5.047124306272757,1.9588336602272727,0.8706896551724138,0.05172413793103448,0.0,1.5
CB Simmons,RFM,Seam,80.77937431463896,85.71891675051705,9.359850871743987,2.052631226267281,0.7613636363636364,0.041666666666666664,0.03409090909090909,1.1818181818181819
ZA Malik,RLB,Spin,47.92884262110842,50.77924390020662,6.4840042415463515,2.111224079069767,0.78125,0.09375,0.0,1.5
BJ Gibbon,LFM,Seam,79.24577633710932,84.9619188742327,12.870903665941952,2.1312851145161287,0.6170886075949367,0.060126582278481014,0.10126582278481013,2.0526315789473686
F Singh,LOB,Spin,50.65159502241698,55.108457809373235,8.293275220300742,2.3031466729166663,0.6374501992031872,0.043824701195219126,0.03187250996015936,0.5454545454545454
JPH Hayes,RFM,Seam,80.71705150557979,84.6255480748663,9.119587201737644,2.0323419591836736,0.6370967741935484,0.08064516129032258,0.04838709677419355,1.1
A Karvelas,RM,Seam,74.86418768507215,80.30289566076611,11.181714470623135,2.2213412673611113,0.5395095367847411,0.07629427792915532,0.0681198910081744,1.0
TJ Haines,RM,Seam,67.77555428438443,70.94419703927184,5.870006875264025,2.0806385615384615,0.7068965517241379,0.017241379310344827,0.034482758620689655,0.0
DT Moriarty,LOB,Spin,51.265920705218406,54.40979296394088,6.641950703604024,2.401856337829912,0.7430340557275542,0.04953560371517028,0.05727554179566564,0.59375
Muhammad Abbas,RM,Seam,76.14834213267339,81.46663277222497,10.50640562505103,2.1179899040562913,0.5627214741318214,0.0885896527285613,0.11410347271438696,1.048
NRT Gubbins,RLB,Spin,49.85263571977076,51.688003783069576,4.673180037470701,2.190581178723404,0.673202614379085,0.0457516339869281,0.0457516339869281,1.1428571428571428
NJ McAndrew,RFM,Seam,79.4143965665283,84.6403673245672,10.042913463868004,2.1444237216450213,0.6161616161616161,0.1111111111111111,0.13804713804713806,1.2424242424242424
MJ Henry,RFM,Seam,78.33077593846988,83.0484619360908,10.507461652346137,2.0071710692573403,0.6297520661157024,0.10082644628099173,0.11239669421487604,1.1475409836065573
Yadvinder Singh,RFM,Seam,75.81630135883418,78.98087137973677,7.309208165347542,2.086152991578947,0.42857142857142855,0.12087912087912088,0.07692307692307693,1.3636363636363635
JA Turner,RFM,Seam,79.48165309588867,83.8625500010022,10.041313753672469,2.1852229703517585,0.6857142857142857,0.07142857142857142,0.12380952380952381,1.0666666666666667
BA Carse,RF,Seam,84.1024687914075,88.64722449261856,9.866889287707465,2.1147640586666667,0.7006369426751592,0.08280254777070063,0.11464968152866242,1.1538461538461537
J Minto,LFM,Seam,77.49970161387704,84.11755218756856,13.149732026331904,2.0317266408163266,0.6908212560386473,0.09178743961352658,0.10628019323671498,1.5789473684210527
R Lord,RFM,Seam,75.32239479670288,80.72818189173047,11.826687353907744,2.3078564029411766,0.7737226277372263,0.0364963503649635,0.10948905109489052,1.2
FW McCann,ROB,Spin,53.348590374860024,56.77298277003901,6.851191522178937,2.218153117857143,0.7765042979942693,0.03724928366762178,0.045845272206303724,0.46153846153846156
SM Curran,LFM,Seam,73.93386180482746,80.46270102007404,27.72648625064099,2.0736590504043124,0.5742092457420924,0.11192214111922141,0.09002433090024331,1.0869565217391304
J Overton,RF,Seam,81.8422172392732,85.52950759350549,9.706832772996393,2.2037101656000004,0.2524752475247525,0.09900990099009901,0.13366336633663367,1.3
C Rushworth,RFM,Seam,74.61018801134098,78.6917775726942,8.395550772892847,2.1603606346153845,0.4093567251461988,0.08771929824561403,0.17543859649122806,0.4
CR Woakes,RFM,Seam,78.53762020300925,82.29481324022554,8.354980056809765,2.1362513278571433,0.4198895027624309,0.09944751381215469,0.1712707182320442,1.1111111111111112
MJ Killeen,RM,Seam,72.3343361563096,75.63938953690706,7.588292910058783,2.0824704118421047,0.7901234567901234,0.06790123456790123,0.06172839506172839,1.0
HT Crocombe,RF,Seam,82.54389265831244,88.61287574806512,11.953780706903501,2.2018675525714286,0.5257270693512305,0.049217002237136466,0.06040268456375839,1.4090909090909092
WG Jacks,ROB,Spin,51.435184117417656,55.15058529533488,7.799640637096793,2.280570220833333,0.4325,0.0525,0.0675,0.5238095238095238
MJ Santner,LOB,Spin,50.47544667139612,54.86684096991713,8.67641849940162,2.355320769491526,0.7157894736842105,0.021052631578947368,0.05263157894736842,1.5
WP O'Rourke,RF,Seam,86.20571760305597,90.29649362690176,8.593656423480695,2.3138682760869567,0.7372881355932204,0.06779661016949153,0.09322033898305085,0.875
H Hameed,RLB,Spin,52.97282409887163,54.30072345278139,2.6557987078195353,2.04595925,0.75,0.125,0.0625,0.5
DJ Malan,RLB,Spin,49.596416408854985,51.06020802481878,3.6898187492111916,2.2648082285714284,0.8888888888888888,0.0,0.0,
JH Wharton,ROB,Spin,,,,,0.8181818181818182,0.09090909090909091,0.0,1.0
JM Bairstow,WK,Seam,,,,,0.8333333333333334,0.16666666666666666,0.0,1.0
S Conners,RFM,Seam,77.82051257180956,82.07717243464384,9.862450641465472,1.9362174871980675,0.7757201646090535,0.06172839506172839,0.043209876543209874,1.7666666666666666
BFW de Leede,RFM,Seam,75.13658076997406,80.5318647150615,13.326343224631074,1.9990163553719005,0.8497854077253219,0.04721030042918455,0.04721030042918455,1.5454545454545454
GS Sandhu,RFM,Seam,77.35425310877964,82.79260395434521,11.298084545653936,2.2105073244575935,0.552901023890785,0.06996587030716724,0.05802047781569966,1.170731707317073
JC Archer,RF,Seam,82.75214986641265,88.19990002434064,11.492496846827379,2.1517252696969695,0.7283950617283951,0.07407407407407407,0.06172839506172839,1.3333333333333333
JG Bethell,LOB,Spin,55.22216601473342,58.826687245153806,7.743207910558802,2.224189216470588,0.773109243697479,0.03361344537815126,0.025210084033613446,1.5
CJ Rocchiccioli,ROB,Spin,52.57488878886077,58.229476206687565,11.453979152904509,2.337950878592375,0.7341513292433538,0.04294478527607362,0.03987730061349693,0.7619047619047619
EV Jack,RFM,Seam,79.34803806656939,85.39944413933051,11.892337528467323,2.1276123974358976,0.6373831775700934,0.04299065420560748,0.0616822429906542,1.434782608695652
NTT Varma,ROB,Spin,48.679712805980486,53.47272211406008,7.1292303323369595,2.0685643296296297,0.8426966292134831,0.0,0.011235955056179775,
MW Jones,RFM,Seam,72.7275196257883,76.48991963698195,7.592323819988636,2.1650967833333334,0.7662337662337663,0.03896103896103896,0.012987012987012988,0.3333333333333333
DK Ibrahim,RM,Seam,75.34142960401736,81.83498776998007,11.051905451483975,2.0435931824999995,0.6382978723404256,0.0425531914893617,0.0425531914893617,0.5
DP Hughes,RM,Seam,,,,,0.6,0.0,0.0,
JDS Neesham,RFM,Seam,80.84653404889019,84.84463173004725,13.846778182726112,2.1439210884615387,0.7808219178082192,0.0410958904109589,0.0410958904109589,0.0
SW Currie,RFM,Seam,78.90500492291814,83.37700670988734,11.849676446182087,2.0589567009708736,0.625,0.03125,0.0859375,1.25
DC Kelly,RFM,Seam,76.35197480532194,79.11845646025725,7.000511287397586,2.0589663277777777,0.6218487394957983,0.03361344537815126,0.03361344537815126,2.25
WJ Sutherland,RFM,Seam,76.86016204962945,82.94852147523576,11.555813835325438,2.1771185890476192,0.20625,0.08125,0.0625,1.0
KK Ahmed,LFM,Seam,81.89316534440043,86.98183428269897,12.724528256878486,2.075239027857143,0.3992932862190813,0.06713780918727916,0.08480565371024736,1.368421052631579
JA Haynes,ROB,Spin,45.30329984644402,45.30329984644402,0.0,2.2004967,0.6666666666666666,0.0,0.0,
IP Kishan,WK,Seam,48.94805408313066,51.99897327645476,6.828548967502165,1.98170705,1.0,0.0,0.0,
K Shahzad,RFM,Seam,79.81824067434407,84.06796045218546,8.831078742482447,1.9905262884130983,0.6408839779005525,0.08287292817679558,0.07366482504604052,1.2666666666666666
AM Foreman,ROB,Spin,48.52784675428404,52.10620255112472,7.786560580147842,1.9349473184210528,0.7333333333333333,0.04,0.02,1.3333333333333333
