Bowler,External PitchX,External PitchY
LW James,6.6126168,0.2209838
LW James,7.5045661,0.4646565
LW James,4.541104,0.5896792
LW James,7.4940992,0.4778611
LW James,7.2071365,0.604867
LW James,11.9448224,0.5331074
DY Pennington,7.256026,-0.660956
DY Pennington,6.6113713,-0.465721
DY Pennington,7.3745522,-0.4693685
DY Pennington,8.974133,-0.449714
DY Pennington,6.9736793,-0.3497759
FP O'Neill,3.0357381,0.5396439
FP O'Neill,8.7181153,0.6083832
FP O'Neill,7.6961356,0.6014134
FP O'Neill,6.0729537,0.5484043
FP O'Neill,6.8036332,0.586134
FP O'Neill,3.5359808,0.6088309
DY Pennington,8.1821635,-0.2340089
DY Pennington,7.2796347,-0.2770829
DY Pennington,6.039744,0.0994454
DY Pennington,7.4409298,-0.20864
DY Pennington,8.0511148,-0.4719873
FP O'Neill,12.2664351,0.83817
FP O'Neill,6.2865956,0.5588969
FP O'Neill,8.4451136,-0.5105244
FP O'Neill,7.5960279,0.3438207
FP O'Neill,7.5731646,-0.1801898
FP O'Neill,8.1938612,-0.2359705
FP O'Neill,7.143305,-0.4318567
FP O'Neill,5.9338868,-0.2006315
FP O'Neill,6.2035707,-0.1748495
FP O'Neill,6.7907738,-0.3172352
FP O'Neill,7.4726773,-0.3460679
FP O'Neill,7.5584519,-0.3819403
FP O'Neill,8.5640036,-0.4155102
FP O'Neill,7.0957719,-0.45601
FP O'Neill,7.4900546,-0.3347909
FP O'Neill,7.4789061,-0.2266892
FP O'Neill,7.9916276,-0.2788642
FP O'Neill,6.4241693,-0.3319994
FP O'Neill,5.1082843,-0.3903844
FP O'Neill,6.9972275,-0.3234247
FP O'Neill,6.2380564,-0.4489862
FP O'Neill,6.3380087,-0.2816733
FP O'Neill,6.8059358,-0.4439305
FP O'Neill,8.1398614,-0.5084563
FP O'Neill,5.7148022,-0.1507604
FP O'Neill,6.1601646,-0.3175085
FP O'Neill,6.6280093,-0.3307077
FP O'Neill,5.9980965,-0.3892632
LW James,6.3645082,-0.2712201
LW James,6.3877091,-0.1404969
LW James,7.3019023,-0.470903
LW James,6.366716,-0.2805869
LW James,5.1340255,0.0687464
LW James,6.8513682,-0.1312751
LW James,7.3709177,-0.152241
LW James,7.2572591,-0.3843508
LW James,7.2021684,-0.2722838
LW James,7.9511295,-0.3553632
DY Pennington,9.1678006,-0.370036
DY Pennington,7.7333986,-0.2460375
DY Pennington,5.9817001,-0.3280692
DY Pennington,7.9035993,-0.3207777
FP O'Neill,6.1570352,-0.1832383
FP O'Neill,6.6463747,-0.1880653
FP O'Neill,4.5983761,0.022745
FP O'Neill,6.1156607,-0.2811267
FP O'Neill,6.7805224,-0.1768982
FP O'Neill,7.3295846,-0.3458773
DY Pennington,7.7135138,-0.3507726
DY Pennington,6.898582,-0.4128122
DY Pennington,8.9240233,-0.4271402
DY Pennington,5.3916385,-0.3454979
FP O'Neill,6.3396967,-0.4588216
FP O'Neill,7.9676527,-0.4894494
FP O'Neill,5.1033467,-0.3755685
FP O'Neill,7.6933006,-0.3689538
BA Raine,7.1727231,-0.2789082
BA Raine,8.7976471,-0.1781951
BA Raine,6.5046596,-0.3882385
BA Raine,5.9714219,-0.4843301
BA Raine,5.9574281,-0.1568283
BA Raine,3.667252,-0.1644971
MJ Potts,7.1500917,-0.1829837
MJ Potts,8.8528721,-0.3351961
MJ Potts,9.1586615,-0.147367
MJ Potts,7.8169942,-0.1684588
MJ Potts,8.0124147,-0.2357362
BA Raine,7.3658271,-0.2524063
BA Raine,6.1968942,-0.3694054
BA Raine,5.5012267,-0.303062
BA Raine,3.9904472,-0.2943903
BA Raine,6.3275615,-0.3055208
BA Raine,5.9384902,-0.3997487
MJ Potts,6.3709078,0.0287987
MJ Potts,7.9925057,-0.0372941
