Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Link
NN Gilchrist (WAR),2025-2025,3,5,391,65.1,11,280,10,28,4.29,39.1,-,-,https://www.espncricinfo.com/cricketers/nathan-gilchrist-982597
SM Curran (SUR),2025-2025,4,7,479,79.5,11,261,9,29,3.26,53.22,-,-,https://www.espncricinfo.com/cricketers/sam-curran-662973
B Doggett (DUR),2025-2025,3,5,535,89.1,17,301,9,33.44,3.37,59.44,1,-,https://www.espncricinfo.com/cricketers/brendan-doggett-931603
Khurram Shahzad (WOR),2025-2025,3,6,606,101,20,338,9,37.55,3.34,67.33,-,1,https://www.espncricinfo.com/cricketers/khurram-shahzad-1159495
N McAndrew (SUS),2025-2025,2,4,355,59.1,10,179,8,22.37,3.02,44.37,1,-,https://www.espncricinfo.com/cricketers/nathan-mcandrew-785323
D Moriarty (YOR),2025-2025,3,5,664,110.4,20,288,8,36,2.6,83,1,-,https://www.espncricinfo.com/cricketers/dan-moriarty-949561
EV Jack (HAM),2025-2025,5,7,588,98,5,470,8,58.75,4.79,73.5,-,-,https://www.espncricinfo.com/cricketers/eddie-jack-1268580
C Rushworth (WAR),2025-2025,2,3,216,36,7,77,7,11,2.13,30.85,1,-,https://www.espncricinfo.com/cricketers/chris-rushworth-20032
JA Turner (HAM),2025-2025,2,3,244,40.4,5,139,7,19.85,3.41,34.85,-,-,https://www.espncricinfo.com/cricketers/john-turner-1261866
BV Sears (YOR),2025-2025,2,3,228,38,6,172,7,24.57,4.52,32.57,1,-,https://www.espncricinfo.com/cricketers/ben-sears-959769
S Conners (DUR),2025-2025,3,4,540,90,11,330,7,47.14,3.66,77.14,-,-,https://www.espncricinfo.com/cricketers/sam-conners-1041211
CN Ackermann (DUR),2025-2025,12,10,569,94.5,14,335,7,47.85,3.53,81.28,-,-,https://www.espncricinfo.com/cricketers/colin-ackermann-379774
WMH Rhodes (DUR),2025-2025,9,10,872,145.2,19,531,7,75.85,3.65,124.57,-,-,https://www.espncricinfo.com/cricketers/will-rhodes-570421
CR Woakes (WAR),2025-2025,1,2,204,34,11,87,6,14.5,2.55,34,-,-,https://www.espncricinfo.com/cricketers/chris-woakes-247235
MJ Killeen (DUR),2025-2025,1,2,181,30.1,4,103,6,17.16,3.41,30.16,-,1,https://www.espncricinfo.com/cricketers/mitchell-killeen-1265959
FW McCann (NOT),2025-2025,13,9,359,59.5,10,174,6,29,2.9,59.83,-,-,https://www.espncricinfo.com/cricketers/freddie-mccann-1318252
DAJ Bracewell (ESS),2025-2025,3,4,330,55,7,211,6,35.16,3.83,55,-,-,https://www.espncricinfo.com/cricketers/doug-bracewell-362541
BC Fortuin (HAM),2025-2025,1,2,118,19.4,6,39,5,7.8,1.98,23.6,1,-,https://www.espncricinfo.com/cricketers/bjorn-fortuin-553249
KHD Barker (HAM),2025-2025,2,3,246,41,9,91,5,18.2,2.21,49.2,-,-,https://www.espncricinfo.com/cricketers/keith-barker-354441
CE Bennett (ESS),2025-2025,2,2,158,26.2,3,109,5,21.8,4.13,31.6,-,-,https://www.espncricinfo.com/cricketers/charlie-bennett-1441886
BA Carse (DUR),2025-2025,1,2,195,32.3,3,152,5,30.4,4.67,39,-,-,https://www.espncricinfo.com/cricketers/brydon-carse-596417
WG Jacks (SUR),2025-2025,3,5,445,74.1,17,194,5,38.8,2.61,89,-,-,https://www.espncricinfo.com/cricketers/will-jacks-897549
DJ Lamb (SUS),2025-2025,5,6,276,46,4,209,5,41.8,4.54,55.2,-,-,https://www.espncricinfo.com/cricketers/danny-lamb-637151
BR Hampton (HAM),2025-2025,3,6,329,54.5,9,232,5,46.4,4.23,65.8,-,-,https://www.espncricinfo.com/cricketers/brett-hampton-547756
A Karvelas (SUS),2025-2025,4,7,408,68,10,239,5,47.8,3.51,81.6,-,-,https://www.espncricinfo.com/cricketers/aristides-karvelas-1115860
CB Simmons (WAR),2025-2025,3,5,318,53,4,240,5,48,4.52,63.6,-,-,https://www.espncricinfo.com/cricketers/che-simmons-1263694
Shafiqullah Ghafari (DUR),2025-2025,2,2,456,76,6,330,5,66,4.34,91.2,1,-,https://www.espncricinfo.com/cricketers/shafiqullah-ghafari-1176738
DM Hogg (DUR),2025-2025,4,5,507,84.3,5,368,5,73.6,4.35,101.4,-,-,https://www.espncricinfo.com/cricketers/daniel-hogg-1378255
